epsilon_sign,kind,theta,theta_over_pi
-1,minimum,0,0
-1,minimum,1.5707963267948966,0.5
-1,minimum,3.1415926535897931,1
-1,minimum,4.7123889803846897,1.5
-1,saddle,0.78539816339744828,0.25
-1,saddle,2.3561944901923448,0.75
-1,saddle,3.9269908169872414,1.25
-1,saddle,5.497787143782138,1.75
1,minimum,0.78539816339744828,0.25
1,minimum,2.3561944901923448,0.75
1,minimum,3.9269908169872414,1.25
1,minimum,5.497787143782138,1.75
1,saddle,0,0
1,saddle,1.5707963267948966,0.5
1,saddle,3.1415926535897931,1
1,saddle,4.7123889803846897,1.5
