epsilon_step,radial_step,relative_B_error
0.02,0.02,0.00017352378825489107
0.02,0.01,5.1102440750834972e-05
0.02,0.0050000000000000001,4.3760909863332742e-05
0.02,0.0025000000000000001,4.6133170604198297e-05
0.01,0.02,0.00018295813135746843
0.01,0.01,4.3415422376664687e-05
0.01,0.0050000000000000001,1.2773655676707454e-05
0.01,0.0025000000000000001,1.0935392728140547e-05
0.0050000000000000001,0.02,0.00018629803624857077
0.0050000000000000001,0.01,4.578105360666174e-05
0.0050000000000000001,0.0050000000000000001,1.0855717799978561e-05
0.0050000000000000001,0.0025000000000000001,3.1892580053844841e-06
0.0025000000000000001,0.02,0.00018718725024324058
0.0025000000000000001,0.01,4.6616544525442269e-05
0.0025000000000000001,0.0050000000000000001,1.1444741881869687e-05
0.0025000000000000001,0.0025000000000000001,2.7070933361421506e-06
